comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.01          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             100000      0           1           2             .000633      NA          .001615           .009448             .014555            .015416              23            274
0.03          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             1000000     0           1           2             .000854      NA          .011809           .092686             .119026            .119583              217           244
0.01          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             10          0           1           2             .000698      NA          .000030           .000336             .000498            .001250              3             196
0.01          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             100         0           1           2             .000721      NA          .000028           .000312             .000435            .001250              3             182
0.01          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             1000        0           1           2             .000409      NA          .000042           .000374             .000472            .000833              4             275
0.02          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             10000       0           1           2             .000348      NA          .000181           .001245             .002460            .002916              5             218
0.02          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             100000      0           1           2             .000627      NA          .001444           .009230             .011568            .012500              23            305
0.02          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             1000000     0           1           2             .000851      NA          .012004           .098739             .125058            .125833              203           237
0.02          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             10          0           1           2             .000403      NA          .000028           .000318             .000521            .000833              3             280
0.02          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             100         0           1           2             .000402      NA          .000035           .000268             .000442            .000833              3             287
0.01          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             1000        0           1           2             .000391      NA          .000044           .000361             .000466            .000833              4             289
0.01          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             10000       0           1           2             .000410      NA          .000152           .001256             .001773            .002083              5             258
0.01          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             100000      0           1           2             .000448      NA          .001400           .009167             .014075            .014166              25            258
0.01          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             1000000     0           1           2             .000838      NA          .011912           .092610             .128151            .129166              203           229
0.01          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             10          0           1           2             .000365      NA          .000030           .000265             .000387            .000833              3             276
0.03          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             100         0           1           2             .000334      NA          .000035           .000263             .000357            .000833              3             322
0.02          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             1000        0           1           2             .000405      NA          .000041           .000383             .000497            .000833              4             331
0.02          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             10000       0           1           2             .000396      NA          .000191           .001220             .002220            .002500              5             237
0.01          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             100000      0           1           2             .000448      NA          .001455           .010202             .014332            .015000              26            255
0.01          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             1000000     0           1           2             .000834      NA          .011855           .088130             .119619            .120833              220           245
0.01          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             10          0           1           2             .000410      NA          .000029           .000310             .000436            .000833              3             253
0.02          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             100         0           1           2             .000195      NA          .000028           .000313             .000440            .000833              3             300
0.02          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             1000        0           1           2             .000399      NA          .000045           .000359             .000469            .000833              4             285
0.01          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             10000       0           1           2             .000736      NA          .000171           .001202             .002382            .002916              5             193
0.02          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             100000      0           1           2             .000411      NA          .001623           .009099             .014416            .015000              23            283
0.02          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             1000000     0           1           2             .000771      NA          .011651           .091788             .129164            .130000              207           223
0.02          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             10          0           1           2             .000379      NA          .000030           .000205             .000266            .000833              3             318
0.02          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             100         0           1           2             .000407      NA          .000029           .000289             .000359            .000833              4             257
