comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.03          3                  1                  0    4        256       74        1         1         5         10000     10000     1           1           1           1               0             .168606      .102648     .015812           .051966             .102233            .227500              308           237
0.01          3                  1                  0    4        256       74        1         1         5         10000     10000     1           1           1           2               0             .045283      .062290     .016186           .083895             .143868            .204166              324           269
0.02          3                  1                  0    4        256       74        1         1         5         10000     10000     1           1           1           3               0             .126310      .062132     .017256           .101580             .166080            .269583              306           213
0.02          3                  1                  0    4        256       74        1         1         5         10000     10000     1           1           1           4               0             .127564      .086572     .018490           .131368             .214798            .319166              310           190
0.01          3                  1                  0    4        256       74        1         1         5         10000     10000     1           1           1           5               0             .148135      .104717     .020321           .180344             .317096            .422916              314           155
0.01          3                  1                  0    4        256       74        1         1         5         10000     10000     1           1           1           6               0             .213796      .217810     .021998           .249915             .443290            .537500              310           129
0.01          3                  1                  0    4        256       174       1         0         5         10000     10000     1           0           1           1               0             .043324      NA          .022803           .029839             .067303            .077500              188           725
0.02          3                  1                  0    4        256       174       1         0         5         10000     10000     1           0           1           2               0             .126468      NA          .021409           .038313             .083514            .174583              206           304
0.02          3                  1                  0    4        256       174       1         0         5         10000     10000     1           0           1           3               0             .043297      NA          .022732           .055490             .098281            .123333              263           457
0.01          3                  1                  0    4        256       174       1         0         5         10000     10000     1           0           1           4               0             .084930      NA          .024206           .097753             .189299            .230416              263           260
0.01          3                  1                  0    4        256       174       1         0         5         10000     10000     1           0           1           5               0             .169540      NA          .026735           .145015             .397573            .441250              263           150
0.02          3                  1                  0    4        256       174       1         0         5         10000     10000     1           0           1           6               0             .126967      NA          .027628           .202088             .487231            .488750              263           139
0.02          3                  1                  0    4        256       174       1         0         5         10000     10000     1           1           1           1               0             .086668      .068054     .014042           .038179             .102673            .132916              311           404
0.01          3                  1                  0    4        256       174       1         0         5         10000     10000     1           1           1           2               0             .123657      .071253     .014799           .046844             .128895            .236250              311           234
0.02          3                  1                  0    4        256       174       1         0         5         10000     10000     1           1           1           3               0             .131226      .147699     .016047           .054785             .091703            .286250              310           206
0.02          3                  1                  0    4        256       174       1         0         5         10000     10000     1           1           1           4               0             .172441      .313049     .017350           .085362             .195562            .440000              319           141
0.01          3                  1                  0    4        256       174       1         0         5         10000     10000     1           1           1           5               0             .264769      .149957     .019670           .117482             .280228            .520416              310           130
0.02          3                  1                  0    4        256       174       1         0         5         10000     10000     1           1           1           6               0             1.360427     .238462     .021013           .158593             .257360            1.517916             314           47
0.01          3                  1                  0    4        256       174       1         1         5         10000     10000     1           0           1           1               0             .043124      NA          .018879           .037582             .105984            .106666              209           436
0.03          3                  1                  0    4        256       174       1         1         5         10000     10000     1           0           1           2               0             .168972      NA          .019454           .037967             .079950            .206666              209           232
0.01          3                  1                  0    4        256       174       1         1         5         10000     10000     1           0           1           3               0             .126902      NA          .020688           .058564             .114879            .150000              209           339
0.01          3                  1                  0    4        256       174       1         1         5         10000     10000     1           0           1           4               0             .043199      NA          .021159           .079771             .251779            .294166              196           177
0.01          3                  1                  0    4        256       174       1         1         5         10000     10000     1           0           1           5               0             .043328      NA          .022177           .094357             .195786            .222916              209           244
0.02          3                  1                  0    4        256       174       1         1         5         10000     10000     1           0           1           6               0             .084472      NA          .024160           .131612             .196905            .281666              205           210
0.02          3                  1                  0    4        256       174       1         1         5         10000     10000     1           1           1           1               0             .084006      .063318     .013124           .027980             .072728            .132083              324           369
0.02          3                  1                  0    4        256       174       1         1         5         10000     10000     1           1           1           2               0             .087977      .046131     .013714           .039272             .084272            .142916              318           351
